DAY,Node,Call Drop%,Call Drops
7/19/2021,CACCDBAZZ,0.08,67
7/19/2021,CACCDCAZZ,0.25,369
7/19/2021,CACCZAAZZ,0.33,343
7/19/2021,CACCZBAZZ,0.81,270
7/19/2021,CACCZCAZZ,4.55,8610
7/19/2021,CABHZAAZZ,2.2,582
7/19/2021,CABHZBAZZ,1.3,1760
7/19/2021,CABHZCAZZ,3.9,1689
7/19/2021,CABCZAAZZ,0,810
7/19/2021,CABCZBAZZ,0,684
7/19/2021,CABCZCAZZ,0,352
7/19/2021,CACBDAAZZ,3.47,623
7/19/2021,CACBDBAZZ,1.42,1040
7/19/2021,CACBDCAZZ,0.77,1525
7/19/2021,CAAHBAAZZ,1.52,903
7/19/2021,CAAHBBAZZ,1.14,108
7/19/2021,CAAHBCAZZ,1.74,3572
7/19/2021,CAZDEAAZZ,2.33,1260
7/19/2021,CAZDEBAZZ,0.94,600
7/19/2021,CAZDECAZZ,0.31,69
7/19/2021,CAGZCGAZZ,2.44,1446
7/19/2021,CAGZCHAZZ,1.24,427
7/19/2021,CACADAAZZ,0.58,58
7/19/2021,CACADBAZZ,1.06,681
7/19/2021,CACADCAZZ,0.37,219
7/19/2021,CABBAAAZZ,0.39,79
7/19/2021,CABBABAZZ,0.41,261
7/19/2021,CABBACAZZ,0.35,320
7/19/2021,CAGGFBAZZ,0.72,731
7/19/2021,CAGGFDAZZ,3.49,5257
7/19/2021,CAGGFEAZZ,0.72,73
7/19/2021,CACAGAAZZ,0.22,51
7/19/2021,CACAGBAZZ,1.58,2572
7/19/2021,CACAGCAZZ,1.68,1580
7/19/2021,CCAEGHBAA,0,0
7/19/2021,CCAEGHGAZ,0.87,731
7/19/2021,CCAEGHHAZ,0.72,145
7/19/2021,CAFCEAAZZ,0.92,23
7/19/2021,CAFCEBAZZ,0.57,67
7/19/2021,CAFCECAZZ,1.61,144
7/19/2021,CAFCEDAZZ,1.14,59
7/19/2021,CACZEAAZZ,3.2,3144
7/19/2021,CACZEBAZZ,1.41,959
7/19/2021,CACZECAZZ,1.4,583
7/19/2021,CAACBAAZZ,0.63,363
7/19/2021,CAACBBAZZ,0.85,788
7/19/2021,CAACBCAZZ,0.78,298
7/19/2021,CAAGAAAZZ,2.5,2932
7/19/2021,CAAGABAZZ,0.93,1883
7/19/2021,CAAGACAZZ,1.09,2245
7/19/2021,CAACIAAZZ,0.46,171
7/19/2021,CAACIBAZZ,1.96,94
7/19/2021,CAACICAZZ,0.9,558
7/19/2021,CAAFFAAZZ,5.12,127
7/19/2021,CAAFFBAZZ,0.76,1714
7/19/2021,CAAFFCAZZ,2.49,41
7/19/2021,CAZHBAAZZ,1.29,170
7/19/2021,CAZHBBAZZ,0.86,1155
7/19/2021,CAZHBBAAZ,0,0
7/19/2021,CAZHBCAZZ,1.09,205
7/19/2021,CAAIGAAZZ,0.44,379
7/19/2021,CAAIGBAZZ,0.36,110
7/19/2021,CAAIGCAZZ,0.65,303
7/19/2021,CAZHFAAZZ,2.08,6
7/19/2021,CAZHFBAZZ,0,0
7/19/2021,CAZHFCAZZ,0,0
7/19/2021,CAZHFDAZZ,0,0
7/19/2021,CAZHFEAZZ,0,0
7/19/2021,CABCCAAZZ,2.14,1468
7/19/2021,CABCCBAZZ,0.39,208
7/19/2021,CABCCCAZZ,0.61,380
7/19/2021,CAFBGAAZZ,1.27,284
7/19/2021,CAFBGBAZZ,1.43,724
7/19/2021,CAFBGCAZZ,1.78,3117
7/19/2021,CAFBGDAZZ,2.96,5146
7/19/2021,CABEFAAZZ,2.69,6531
7/19/2021,CABEFBAZZ,3.17,18214
7/19/2021,CABEFCAZZ,3.79,7144
7/19/2021,CAEFFAAZZ,0.47,87
7/19/2021,CAADDAAZZ,1.54,2651
7/19/2021,CAADDBAZZ,0.46,97
7/19/2021,CAADDCAZZ,0.16,27
7/19/2021,CAFGGAAZZ,0.38,16
7/19/2021,CAFGGBAZZ,2.14,780
7/19/2021,CAFGGCAZZ,0,0
7/19/2021,CAFGGDAZZ,1.37,224
7/19/2021,CAAGIAAZZ,1.92,223
7/19/2021,CAAGIBAZZ,0.78,186
7/19/2021,CAAGICAZZ,0.32,61
7/19/2021,CACFFAAZZ,1.68,2333
7/19/2021,CACFFBAZZ,0.55,522
7/19/2021,CACFFCAZZ,1.02,527
7/19/2021,CACHBAAZZ,16.73,94
7/19/2021,CACHBBAZZ,0.7,368
7/19/2021,CACHBCAZZ,0.59,28
7/19/2021,CACFGAAZZ,4.36,5047
7/19/2021,CACFGBAZZ,6.13,15829
7/19/2021,CACFGCAZZ,2.88,1229
7/19/2021,CADEBAAZZ,0.15,5
7/19/2021,CAZDIAAZZ,0.26,59
7/19/2021,CAZDIBAZZ,0.38,102
7/19/2021,CAZDICAZZ,0.17,67
7/19/2021,CAGHAAAZZ,5.46,1773
7/19/2021,CAGHABAZZ,2.99,1429
7/19/2021,CAGHACAZZ,2.15,1052
7/19/2021,CABZHAAZZ,0.81,835
7/19/2021,CABZHBAZZ,0.5,457
7/19/2021,CABZHCAZZ,1.62,1335
7/19/2021,CCABZIGAZ,0.5,125
7/19/2021,CCABZIHAZ,0.39,744
7/19/2021,CCABECBAZ,3.79,7243
7/19/2021,CCABECCAZ,0.67,545
7/19/2021,CACBZAAZZ,1.19,167
7/19/2021,CACBZBAZZ,1.84,779
7/19/2021,CACBZCAZZ,0.51,271
7/19/2021,CAIAZDAZZ,53.66,22
7/19/2021,CAIAZEAZZ,0,0
7/19/2021,CADFDAAZZ,44.13,7432
7/19/2021,CADFDBAZZ,0.05,1
7/19/2021,CADFDCAZZ,0.05,2
7/19/2021,CAIEFAAZZ,0,0
7/19/2021,CAIEFBAZZ,0,0
7/19/2021,CAIEFCAZZ,0,0
7/19/2021,CAAHCAAZZ,1.23,955
7/19/2021,CAAHCBAZZ,2.78,277
7/19/2021,CAAHCCAZZ,1.88,1255
7/19/2021,CAAIBAAZZ,0.15,52
7/19/2021,CAAIBBAZZ,0.15,52
7/19/2021,CAAIBCAZZ,0.38,157
7/19/2021,CABIBAAZZ,0.8,572
7/19/2021,CABIBBAZZ,0.77,194
7/19/2021,CABIBCAZZ,0.65,489
7/19/2021,CAGEEAAZZ,1.45,695
7/19/2021,CAGEEBAZZ,0.73,1058
7/19/2021,CAGEECAZZ,1.31,1310
7/19/2021,CABFBAAZZ,1.95,1548
7/19/2021,CABFBBAZZ,0.81,575
7/19/2021,CABFBCAZZ,0.96,464
7/19/2021,CABCDAAZZ,0.42,35
7/19/2021,CABCDBAZZ,0.56,40
7/19/2021,CABCDCAZZ,4.36,242
7/19/2021,CACIAAAZZ,4.26,2
7/19/2021,CACIABAZZ,2.08,1
7/19/2021,CACIACAZZ,1.02,2
7/19/2021,CACIADAZZ,7.79,77
7/19/2021,CABDCAAZZ,3.8,90
7/19/2021,CABDCBAZZ,0.74,160
7/19/2021,CABDCCAZZ,1.14,606
7/19/2021,CABBZAAZZ,0.93,791
7/19/2021,CABBZBAZZ,0.38,573
7/19/2021,CABBZCAZZ,2.09,1392
7/19/2021,CABBZDAZZ,0.18,180
7/19/2021,CABBCAAZZ,4.27,6658
7/19/2021,CAGAIAAZZ,0.43,29
7/19/2021,CAGAIBAZZ,0.78,150
7/19/2021,CAGAICAZZ,2.61,988
7/19/2021,CAADCAAZZ,0.31,150
7/19/2021,CAADCBAZZ,0.64,728
7/19/2021,CAADCCAZZ,0.64,665
7/19/2021,CADECAAZZ,0.11,1
7/19/2021,CADECBAZZ,0,0
7/19/2021,CADECCAZZ,0.55,18
7/19/2021,CACFEAAZZ,1.17,569
7/19/2021,CACFEBAZZ,6.06,2007
7/19/2021,CACFECAZZ,1.36,1014
7/19/2021,CABZAAAZZ,1.93,4972
7/19/2021,CABZABAZZ,0.79,732
7/19/2021,CABZACAZZ,1.02,661
7/19/2021,CADFAAAZZ,0.62,215
7/19/2021,CADFABAZZ,1.41,340
7/19/2021,CADFACAZZ,0.82,573
7/19/2021,CACBEAAZZ,1.47,417
7/19/2021,CACBEBAZZ,1.09,764
7/19/2021,CACBECAZZ,1.15,556
7/19/2021,CAFBFAAZZ,1.59,806
7/19/2021,CAFBFBAZZ,0.64,142
7/19/2021,CAFBFCAZZ,1.63,199
7/19/2021,CABAAAAZZ,1.24,175
7/19/2021,CABAABAZZ,0.36,107
7/19/2021,CABAACAZZ,2.43,1037
7/19/2021,CAZZCAAZZ,0.76,371
7/19/2021,CAZZCBAZZ,1.05,829
7/19/2021,CAZZCCAZZ,2.69,1779
7/19/2021,CAHZBAAZZ,0.74,93
7/19/2021,CAHZBBAZZ,1.35,327
7/19/2021,CAHZBCAZZ,0.25,124
7/19/2021,CACAEAAZZ,0.84,934
7/19/2021,CACAEBAZZ,1.06,3438
7/19/2021,CACAECAZZ,1.35,453
7/19/2021,CCAFBIAAZ,0.31,195
7/19/2021,CCAFBIBAZ,1.35,568
7/19/2021,CCAFBICAZ,1.13,708
7/19/2021,CCAFBIDAZ,0.9,984
7/19/2021,CAAFHAAZZ,9.25,532
7/19/2021,CAAFHBAZZ,0.42,106
7/19/2021,CAAFHCAZZ,0.47,102
7/19/2021,CAAFCAAZZ,0.38,83
7/19/2021,CAAFCBAZZ,1.04,1137
7/19/2021,CAAFCCAZZ,0.33,116
7/19/2021,CACBBAAZZ,0.41,40
7/19/2021,CACBBBAZZ,3.14,217
7/19/2021,CACBBCAZZ,0.38,367
7/19/2021,CAZICAAZZ,0.67,163
7/19/2021,CAZICBAZZ,1.99,544
7/19/2021,CAZICCAZZ,0.71,242
7/19/2021,CAZICDAZZ,1.03,164
7/19/2021,CAZAZAAZZ,0.71,541
7/19/2021,CAZAZBAZZ,0.94,384
7/19/2021,CAHBBAAZZ,0.9,177
7/19/2021,CAHBBBAZZ,0.33,36
7/19/2021,CAHBBCAZZ,1.88,33
7/19/2021,CAZEFAAZZ,0.34,105
7/19/2021,CAZEFBAZZ,0.38,290
7/19/2021,CAZEFCAZZ,0.49,144
7/19/2021,CABZGAAZZ,0.84,585
7/19/2021,CABZGBAZZ,1.13,1149
7/19/2021,CABZGCAZZ,0.73,409
7/19/2021,CAAZHAAZZ,1.42,737
7/19/2021,CAAZHBAZZ,3.06,689
7/19/2021,CAAZHCAZZ,1.4,811
7/19/2021,CADIBGAZZ,0.43,232
7/19/2021,CADIBHAZZ,0.71,144
7/19/2021,CABZFAAZZ,1.48,525
7/19/2021,CABZFBAZZ,1.06,492
7/19/2021,CABZFCAZZ,3.26,466
7/19/2021,FCAAFDGAZ,0.21,146
7/19/2021,CAAFBAAZZ,0.9,416
7/19/2021,CAAFBBAZZ,0.77,218
7/19/2021,CAAFBCAZZ,1.57,355
7/19/2021,CADZAAAZZ,1.48,560
7/19/2021,CADZABAZZ,0.42,461
7/19/2021,CADZACAZZ,1.41,2439
7/19/2021,CADZADAZZ,0.79,1070
7/19/2021,CAZZDAAZZ,1.08,1676
7/19/2021,CAZZDBAZZ,0.74,399
7/19/2021,CAZZDCAZZ,1.07,528
7/19/2021,CAZGIAAZZ,0.64,21
7/19/2021,CAZGIBAZZ,0.7,452
7/19/2021,CAZGICAZZ,0.66,448
7/19/2021,CAZIHAAZZ,0.35,370
7/19/2021,CAZIHBAZZ,1.52,2119
7/19/2021,CAZIHCAZZ,1.37,3430
7/19/2021,CAAFIAAZZ,0.96,95
7/19/2021,CAAFIBAZZ,1.85,69
7/19/2021,CAAFICAZZ,2.76,2649
7/19/2021,CAGHHAAZZ,0.87,173
7/19/2021,CAGHHBAZZ,1,540
